invoice_no,invoice_date,customer_id,gender,age,category,quantity,selling_price_per_unit,cost_price_per_unit,payment_method,region,state,shopping_mall
I218590,10/30/2016 10:13,C224743,Female,29,Cosmetics,4,162.64,130.112,Debit Card,West,California,Metropol AVM
I181109,10/30/2016 10:13,C119549,Male,22,Toys,3,107.52,80.64,Cash,West,Oregon,Mall of Istanbul
I221715,10/30/2016 10:13,C187266,Female,63,Food & Beverage,3,15.69,10.983,Cash,Central,Illinois,Istinye Park
I204979,10/30/2016 10:13,C173084,Female,24,Souvenir,5,58.65,43.9875,Debit Card,West,Arizona,Istinye Park
I115146,10/30/2016 10:14,C126956,Female,24,Cosmetics,5,203.3,162.64,Cash,West,Arizona,Metrocity
I883721,10/30/2016 10:14,C236859,Female,44,Technology,5,5250,4725,Credit Card,South,Virginia,Mall of Istanbul
I402376,10/30/2016 10:14,C309926,Male,34,Shoes,5,3000.85,2700.765,Cash,East,New York,Viaport Outlet
I251356,10/30/2016 10:14,C493252,Female,47,Cosmetics,4,162.64,130.112,Cash,Central,Michigan,Kanyon
I292239,10/30/2016 10:14,C109871,Male,38,Food & Beverage,5,26.15,19.6125,Cash,South,Tennessee,Mall of Istanbul
I276526,10/30/2016 10:15,C136117,Female,57,Shoes,5,3000.85,2700.765,Debit Card,South,Tennessee,Zorlu Center
I260525,10/30/2016 10:15,C258404,Male,67,Toys,3,107.52,80.64,Cash,South,Tennessee,Zorlu Center
I870944,10/30/2016 10:15,C169749,Male,41,Souvenir,3,35.19,24.633,Credit Card,Central,Texas,Istinye Park
I739573,10/30/2016 10:15,C199947,Female,40,Clothing,5,1500.4,1425.38,Debit Card,Central,Texas,Kanyon
I115870,10/30/2016 10:16,C135790,Female,69,Shoes,4,2400.68,2280.646,Cash,Central,Texas,Metrocity
I190444,10/30/2016 10:16,C606418,Female,47,Food & Beverage,5,26.15,19.6125,Cash,Central,Texas,Mall of Istanbul
I309552,10/30/2016 10:16,C111611,Female,53,Food & Beverage,4,20.92,15.69,Credit Card,South,Alabama,Istinye Park
I306076,10/30/2016 10:16,C679476,Male,40,Toys,2,71.68,50.176,Cash,South,Alabama,Zorlu Center
I321683,10/30/2016 10:17,C542025,Male,60,Cosmetics,4,162.64,130.112,Credit Card,West,Oregon,Metrocity
I151332,10/30/2016 10:17,C168491,Male,30,Souvenir,2,23.46,16.422,Cash,West,Oregon,Kanyon
I340014,10/30/2016 10:17,C169650,Female,66,Clothing,2,600.16,450.12,Credit Card,South,North Carolina,Istinye Park
I249424,10/30/2016 10:17,C158160,Male,22,Food & Beverage,1,5.23,3.661,Cash,Central,Illinois,Mall of Istanbul
I227716,10/30/2016 10:18,C552345,Male,53,Food & Beverage,2,10.46,7.322,Cash,South,Alabama,Kanyon
I140663,10/30/2016 10:18,C218383,Female,52,Clothing,5,1500.4,1425.38,Cash,Central,Iowa,Zorlu Center
I253242,10/30/2016 10:18,C309438,Male,26,Shoes,5,3000.85,2700.765,Cash,Central,Iowa,Mall of Istanbul
I108359,10/30/2016 10:18,C253905,Male,66,Food & Beverage,1,5.23,3.661,Cash,Central,Texas,Zorlu Center
I195567,10/30/2016 10:18,C992677,Male,65,Clothing,4,1200.32,1140.304,Debit Card,West,Oregon,Metropol AVM
I289643,10/30/2016 10:19,C584700,Female,43,Technology,2,2100,1890,Cash,West,Oregon,Kanyon
I722319,10/30/2016 10:19,C157070,Female,59,Toys,1,35.84,25.088,Debit Card,West,Oregon,Kanyon
I317105,10/30/2016 10:19,C177975,Female,30,Souvenir,5,58.65,43.9875,Debit Card,Central,Iowa,Kanyon
I215721,10/30/2016 10:19,C830576,Female,25,Cosmetics,2,81.32,56.924,Debit Card,Central,Iowa,Metrocity
I154469,10/30/2016 10:20,C807389,Female,29,Toys,3,107.52,80.64,Debit Card,Central,Iowa,Mall of Istanbul
I172458,10/30/2016 10:20,C277842,Female,19,Clothing,2,600.16,450.12,Debit Card,West,Oregon,Istinye Park
I297270,10/30/2016 10:20,C183011,Male,62,Clothing,5,1500.4,1425.38,Credit Card,East,New York,Metropol AVM
I153930,10/30/2016 10:20,C567813,Male,39,Food & Beverage,3,15.69,10.983,Cash,West,Oregon,Viaport Outlet
I282854,10/30/2016 10:21,C282974,Female,33,Clothing,3,900.24,675.18,Cash,Central,Iowa,Kanyon
I869144,10/30/2016 10:21,C181972,Female,26,Food & Beverage,4,20.92,15.69,Debit Card,Central,Illinois,Mall of Istanbul
I283443,10/30/2016 10:21,C189493,Male,43,Technology,15,3150,2677.5,Credit Card,Central,Illinois,Viaport Outlet
I193271,10/30/2016 10:21,C242748,Female,40,Food & Beverage,3,15.69,10.983,Debit Card,Central,Illinois,Kanyon
I985478,10/30/2016 10:21,C324683,Male,55,Clothing,4,1200.32,1240.304,Credit Card,Central,Iowa,Kanyon
I200392,10/30/2016 10:22,C307921,Female,24,Clothing,5,1500.4,1525.38,Credit Card,West,Colorado,Viaport Outlet
I256691,10/30/2016 10:22,C152549,Male,24,Cosmetics,1,40.66,28.462,Cash,West,Colorado,Metrocity
I796162,10/30/2016 10:22,C111832,Female,30,Food & Beverage,5,26.15,19.6125,Credit Card,West,Colorado,Metrocity
I224371,10/30/2016 10:22,C204174,Male,34,Clothing,5,1500.4,1425.38,Credit Card,South,North Carolina,Mall of Istanbul
I215998,10/30/2016 10:23,C279370,Female,64,Clothing,5,1500.4,1425.38,Cash,South,North Carolina,Istinye Park
I338966,10/30/2016 10:23,C907582,Female,57,Clothing,5,1500.4,1425.38,Cash,South,North Carolina,Mall of Istanbul
I293215,10/30/2016 10:23,C166635,Male,18,Cosmetics,12,162.64,130.112,Credit Card,Central,Illinois,Istinye Park
I149688,10/30/2016 10:23,C276043,Female,26,Clothing,4,1200.32,1140.304,Cash,East,New York,Zorlu Center
I109649,10/30/2016 10:24,C282643,Female,19,Food & Beverage,3,15.69,10.983,Debit Card,Central,Iowa,Zorlu Center
I299820,10/30/2016 10:24,C820515,Female,22,Books,3,45.45,31.815,Cash,Central,Iowa,Kanyon
I157775,10/30/2016 10:24,C331761,Male,48,Clothing,1,300.08,225.06,Cash,East,Ohio,Kanyon
I317140,10/30/2016 10:24,C326893,Female,56,Souvenir,5,58.65,43.9875,Cash,East,Ohio,Istinye Park
I147334,10/30/2016 10:25,C306395,Male,35,Clothing,2,600.16,450.12,Cash,East,Ohio,Viaport Outlet
I278121,10/30/2016 10:25,C885344,Female,60,Toys,4,143.36,114.688,Debit Card,East,Ohio,Metrocity
I134452,10/30/2016 10:25,C112750,Female,32,Clothing,1,300.08,225.06,Credit Card,West,Washington,Viaport Outlet
I320846,10/30/2016 10:25,C274870,Male,27,Clothing,4,1200.32,1140.304,Credit Card,South,Tennessee,Kanyon
I740676,10/30/2016 10:25,C199864,Female,56,Clothing,7,600.16,450.12,Credit Card,East,Delaware,Istinye Park
I142331,10/30/2016 10:26,C997380,Male,35,Cosmetics,4,162.64,130.112,Debit Card,East,Delaware,Metrocity
I222983,10/30/2016 10:26,C132002,Female,68,Clothing,1,300.08,225.06,Credit Card,East,Delaware,Metropol AVM
I164665,10/30/2016 10:26,C255058,Female,64,Technology,2,2100,1890,Cash,East,Delaware,Kanyon
I133387,10/30/2016 10:26,C271799,Female,60,Toys,4,143.36,114.688,Cash,East,Delaware,Viaport Outlet
I276763,10/30/2016 10:27,C765620,Male,64,Toys,5,179.2,143.36,Debit Card,Central,Texas,Kanyon
I273890,10/30/2016 10:27,C891545,Female,41,Clothing,3,900.24,675.18,Debit Card,Central,Illinois,Zorlu Center
I774221,10/30/2016 10:27,C519513,Male,30,Food & Beverage,5,26.15,19.6125,Cash,West,Arizona,Metrocity
I202171,10/30/2016 10:27,C125624,Male,40,Clothing,1,300.08,225.06,Debit Card,West,Arizona,Mall of Istanbul
I219780,10/30/2016 10:28,C658980,Female,29,Clothing,2,600.16,450.12,Cash,West,Oregon,Kanyon
I160221,10/30/2016 10:28,C319231,Male,25,Clothing,10,900.24,675.18,Cash,West,Oregon,Mall of Istanbul
I106691,10/30/2016 10:28,C150594,Female,60,Clothing,4,1200.32,1140.304,Cash,East,Ohio,Kanyon
I129886,10/30/2016 10:28,C846730,Female,42,Food & Beverage,5,26.15,19.6125,Cash,East,Ohio,Metrocity
I745394,10/30/2016 10:28,C249877,Male,54,Food & Beverage,1,5.23,3.661,Cash,East,Ohio,Metropol AVM
I157056,10/30/2016 10:29,C200826,Female,50,Clothing,5,1500.4,1425.38,Cash,West,Oregon,Kanyon
I304531,10/30/2016 10:29,C263874,Male,54,Clothing,1,300.08,225.06,Debit Card,West,Oregon,Metropol AVM
I762439,10/30/2016 10:29,C663463,Female,45,Books,4,60.6,45.45,Cash,West,Oregon,Metrocity
I300972,10/30/2016 10:29,C134370,Female,40,Cosmetics,1,40.66,28.462,Credit Card,West,Oregon,Zorlu Center
I151588,10/30/2016 10:30,C310642,Male,24,Books,3,45.45,31.815,Credit Card,West,Oregon,Metrocity
I657069,10/30/2016 10:30,C651699,Male,40,Clothing,4,1200.32,1140.304,Cash,West,Oregon,Mall of Istanbul
I122655,10/30/2016 10:30,C989693,Female,32,Technology,2,2100,1890,Credit Card,West,Oregon,Metropol AVM
I236914,10/30/2016 10:30,C123581,Female,28,Clothing,3,900.24,675.18,Cash,East,Pennsylvania,Mall of Istanbul
I247471,10/30/2016 10:31,C192446,Female,22,Toys,1,35.84,25.088,Cash,West,Oregon,Mall of Istanbul
I362306,10/30/2016 10:31,C143343,Female,21,Clothing,1,300.08,225.06,Credit Card,West,Oregon,Metrocity
I215279,10/30/2016 10:31,C223343,Female,31,Clothing,2,600.16,450.12,Credit Card,West,Oregon,Kanyon
I216061,10/30/2016 10:31,C309082,Female,61,Food & Beverage,3,15.69,10.983,Credit Card,Central,Iowa,Mall of Istanbul
I246375,10/30/2016 10:32,C236365,Female,67,Cosmetics,8,81.32,56.924,Cash,West,Oregon,Kanyon
I103596,10/30/2016 10:32,C178734,Male,52,Shoes,5,3000.85,2700.765,Cash,East,Ohio,Kanyon
I259878,10/30/2016 10:32,C223010,Male,44,Clothing,4,1200.32,1140.304,Credit Card,Central,Iowa,Metropol AVM
I206422,10/30/2016 10:32,C289933,Female,48,Food & Beverage,2,10.46,7.322,Credit Card,Central,Iowa,Kanyon
I201704,10/30/2016 10:32,C340116,Female,53,Food & Beverage,3,15.69,10.983,Cash,Central,Iowa,Metrocity
I168037,10/30/2016 10:33,C816586,Male,27,Toys,4,143.36,114.688,Cash,Central,Iowa,Mall of Istanbul
I307534,10/30/2016 10:33,C434171,Female,28,Cosmetics,4,162.64,150.112,Cash,West,Arizona,Viaport Outlet
I259196,10/30/2016 10:33,C215384,Female,43,Toys,4,143.36,114.688,Credit Card,West,Arizona,Istinye Park
I141241,10/30/2016 10:33,C143442,Male,54,Souvenir,5,58.65,43.9875,Credit Card,West,Oregon,Kanyon
I289973,10/30/2016 10:34,C102926,Male,41,Food & Beverage,5,26.15,19.6125,Credit Card,West,Oregon,Kanyon
I147203,10/30/2016 10:34,C340063,Female,59,Cosmetics,5,203.3,162.64,Cash,West,Oregon,Istinye Park
I323788,10/30/2016 10:34,C131786,Female,32,Clothing,1,300.08,225.06,Credit Card,West,Washington,Metropol AVM
I285454,10/30/2016 10:34,C194380,Female,41,Souvenir,5,58.65,43.9875,Credit Card,West,Washington,Metropol AVM
I288152,10/30/2016 10:35,C269623,Female,30,Technology,3,3150,2677.5,Debit Card,Central,Iowa,Mall of Istanbul
I134126,10/30/2016 10:35,C847171,Male,22,Clothing,1,300.08,225.06,Debit Card,Central,Iowa,Istinye Park
I311052,10/30/2016 10:35,C556552,Female,51,Clothing,4,1200.32,1140.304,Cash,West,Oregon,Istinye Park
I176469,10/30/2016 10:35,C876528,Female,23,Food & Beverage,2,10.46,7.322,Credit Card,East,Pennsylvania,Viaport Outlet
I167993,10/30/2016 10:35,C303493,Male,40,Toys,2,71.68,50.176,Cash,West,Idaho,Kanyon
I222086,10/30/2016 10:36,C978718,Male,37,Clothing,5,1500.4,1425.38,Cash,West,Washington,Zorlu Center
I164597,10/30/2016 10:36,C111766,Female,24,Clothing,1,300.08,225.06,Cash,Central,Texas,Mall of Istanbul
I184307,10/30/2016 10:36,C175946,Male,22,Food & Beverage,1,5.23,3.661,Credit Card,Central,Texas,Kanyon
I289905,10/30/2016 10:36,C160005,Female,61,Cosmetics,4,162.64,130.112,Cash,Central,Texas,Kanyon
I416544,10/30/2016 10:37,C599109,Female,25,Food & Beverage,2,10.46,7.322,Credit Card,Central,Texas,Metrocity
I601026,10/30/2016 10:37,C693789,Female,66,Souvenir,5,58.65,43.9875,Credit Card,Central,Texas,Zorlu Center
I257890,10/30/2016 10:37,C259342,Female,59,Shoes,1,600.17,450.1275,Cash,Central,Texas,Kanyon
I260028,10/30/2016 10:37,C208108,Male,38,Clothing,4,1200.32,1140.304,Cash,Central,Texas,Metropol AVM
I170160,10/30/2016 10:38,C244213,Male,34,Toys,2,71.68,50.176,Debit Card,West,Oregon,Metrocity
I624164,10/30/2016 10:38,C102685,Female,26,Clothing,1,300.08,225.06,Cash,West,Oregon,Kanyon
I143353,10/30/2016 10:38,C244291,Female,59,Souvenir,5,58.65,43.9875,Cash,West,Oregon,Metrocity
I278401,10/30/2016 10:38,C162371,Female,53,Toys,1,35.84,25.088,Debit Card,Central,Illinois,Mall of Istanbul
I402966,10/30/2016 10:39,C375422,Male,23,Cosmetics,4,162.64,130.112,Debit Card,Central,Illinois,Viaport Outlet
I244241,10/30/2016 10:39,C911768,Female,23,Clothing,5,1500.4,1425.38,Credit Card,Central,Texas,Viaport Outlet
I179048,10/30/2016 10:39,C270129,Female,66,Technology,3,3150,2677.5,Debit Card,East,Ohio,Istinye Park
I165202,10/30/2016 10:39,C617189,Female,56,Cosmetics,4,162.64,130.112,Cash,East,Ohio,Mall of Istanbul
I328321,10/30/2016 10:39,C271029,Female,38,Souvenir,2,23.46,16.422,Credit Card,East,New York,Metropol AVM
I417106,10/30/2016 10:40,C292356,Male,28,Clothing,3,900.24,675.18,Cash,Central,Illinois,Istinye Park
I248153,10/30/2016 10:40,C329633,Female,44,Food & Beverage,1,5.23,3.661,Cash,Central,Illinois,Metropol AVM
I112270,10/30/2016 10:40,C244780,Female,26,Food & Beverage,4,20.92,15.69,Cash,South,Alabama,Mall of Istanbul
I318831,10/30/2016 10:40,C139568,Female,41,Cosmetics,4,162.64,130.112,Credit Card,South,Alabama,Viaport Outlet
I258322,10/30/2016 10:41,C220281,Male,50,Clothing,4,1200.32,1140.304,Cash,South,Alabama,Viaport Outlet
I334246,10/30/2016 10:41,C311034,Female,23,Cosmetics,3,121.98,91.485,Cash,East,Delaware,Mall of Istanbul
I198233,10/30/2016 10:41,C584141,Female,31,Cosmetics,4,162.64,130.112,Cash,West,Oregon,Metropol AVM
I310819,10/30/2016 10:41,C221934,Male,26,Cosmetics,5,203.3,162.64,Credit Card,Central,Texas,Viaport Outlet
I409288,10/30/2016 10:42,C513561,Female,56,Food & Beverage,3,15.69,10.983,Cash,Central,Texas,Viaport Outlet
I131054,10/30/2016 10:42,C257990,Female,34,Toys,4,143.36,114.688,Cash,East,New York,Kanyon
I149521,10/30/2016 10:42,C168348,Female,29,Clothing,2,600.16,450.12,Cash,East,New York,Kanyon
I156233,10/30/2016 10:42,C161285,Female,20,Clothing,1,300.08,225.06,Credit Card,East,New York,Mall of Istanbul
I295784,10/30/2016 10:42,C166191,Female,54,Cosmetics,3,121.98,91.485,Credit Card,East,New York,Viaport Outlet
I255381,10/30/2016 10:43,C172966,Male,40,Clothing,4,1200.32,1140.304,Debit Card,East,New York,Metrocity
I337719,10/30/2016 10:43,C320928,Male,40,Cosmetics,5,203.3,162.64,Cash,West,Oregon,Istinye Park
I220863,10/30/2016 10:43,C131497,Male,21,Books,4,60.6,45.45,Cash,East,Ohio,Mall of Istanbul
I530401,10/30/2016 10:43,C526660,Female,32,Technology,2,2100,1890,Cash,East,Ohio,Zorlu Center
I219555,10/30/2016 10:44,C266961,Male,47,Clothing,3,900.24,675.18,Credit Card,East,Massachusetts,Metrocity
I316629,10/30/2016 10:44,C204741,Female,41,Souvenir,3,35.19,24.633,Cash,East,Pennsylvania,Istinye Park
I795251,10/30/2016 10:44,C181619,Male,33,Cosmetics,5,203.3,162.64,Cash,East,Pennsylvania,Kanyon
I151099,10/30/2016 10:44,C250395,Female,67,Souvenir,2,23.46,16.422,Credit Card,East,Ohio,Mall of Istanbul
I286193,10/30/2016 10:45,C322994,Male,37,Cosmetics,9,121.98,118.485,Cash,West,Colorado,Istinye Park
I399563,10/30/2016 10:45,C250673,Female,38,Toys,1,35.84,25.088,Cash,West,Colorado,Metropol AVM
I229355,10/30/2016 10:45,C192978,Male,28,Shoes,5,3000.85,2700.765,Credit Card,Central,Texas,Kanyon
I147727,10/30/2016 10:45,C163033,Female,38,Books,1,15.15,10.605,Credit Card,South,Tennessee,Kanyon
I504141,10/30/2016 10:46,C558480,Female,56,Cosmetics,1,40.66,28.462,Credit Card,West,Oregon,Kanyon
I246151,10/30/2016 10:46,C287409,Male,25,Books,3,45.45,31.815,Debit Card,Central,Michigan,Metropol AVM
I164675,10/30/2016 10:46,C993675,Male,66,Books,5,75.75,56.8125,Cash,Central,Michigan,Kanyon
I606511,10/30/2016 10:46,C307535,Female,37,Souvenir,2,23.46,16.422,Credit Card,Central,Michigan,Viaport Outlet
I342816,10/30/2016 10:46,C238961,Female,19,Food & Beverage,2,10.46,7.322,Cash,Central,Michigan,Mall of Istanbul
I151764,10/30/2016 10:47,C671866,Female,53,Clothing,5,1500.4,1425.38,Cash,Central,Michigan,Kanyon
I226172,10/30/2016 10:47,C171154,Female,69,Shoes,1,600.17,450.1275,Cash,Central,Texas,Kanyon
I737630,10/30/2016 10:47,C848969,Male,69,Clothing,5,1500.4,1425.38,Cash,East,Ohio,Metropol AVM
I891311,10/30/2016 10:47,C240171,Female,31,Food & Beverage,2,10.46,7.322,Debit Card,East,Ohio,Metropol AVM
I127733,10/30/2016 10:48,C665777,Male,39,Books,5,75.75,56.8125,Cash,East,Ohio,Kanyon
I202398,10/30/2016 10:48,C256730,Male,53,Shoes,5,3000.85,2700.765,Cash,East,Ohio,Zorlu Center
I160585,10/30/2016 10:48,C298229,Male,26,Cosmetics,2,81.32,56.924,Cash,East,Ohio,Metropol AVM
I771414,10/30/2016 10:48,C183404,Male,63,Food & Beverage,3,15.69,10.983,Cash,West,Oregon,Viaport Outlet
I139520,10/30/2016 10:49,C316398,Female,34,Clothing,5,1500.4,1425.38,Cash,West,Oregon,Mall of Istanbul
I291540,10/30/2016 10:49,C557245,Male,25,Food & Beverage,1,5.23,3.661,Debit Card,East,Ohio,Kanyon
I798213,10/30/2016 10:49,C662958,Female,20,Shoes,3,1800.51,1620.459,Cash,East,Ohio,Metropol AVM
I232338,10/30/2016 10:49,C545065,Female,18,Clothing,4,1200.32,1140.304,Debit Card,East,Ohio,Metropol AVM
I267713,10/30/2016 10:49,C284679,Male,53,Cosmetics,4,162.64,130.112,Credit Card,East,Ohio,Kanyon
I525798,10/30/2016 10:50,C581947,Male,46,Cosmetics,4,162.64,130.112,Cash,East,Ohio,Mall of Istanbul
I353272,10/30/2016 10:50,C199311,Female,34,Clothing,10,300.08,292.06,Credit Card,East,Ohio,Istinye Park
I165687,10/30/2016 10:50,C206501,Female,61,Clothing,3,900.24,675.18,Cash,Central,Michigan,Metropol AVM
I169015,10/30/2016 10:50,C726021,Female,38,Clothing,5,1500.4,1425.38,Credit Card,Central,Michigan,Mall of Istanbul
I111305,10/30/2016 10:51,C448846,Female,67,Food & Beverage,3,15.69,10.983,Cash,Central,Michigan,Metropol AVM
I187171,10/30/2016 10:51,C168663,Male,33,Toys,4,143.36,114.688,Credit Card,South,Tennessee,Istinye Park
I148276,10/30/2016 10:51,C616106,Female,63,Clothing,4,1200.32,1140.304,Debit Card,South,Tennessee,Zorlu Center
I783231,10/30/2016 10:51,C771066,Female,21,Clothing,5,1500.4,1425.38,Debit Card,South,North Carolina,Istinye Park
I313426,10/30/2016 10:52,C101196,Female,41,Cosmetics,4,162.64,130.112,Debit Card,South,Florida,Kanyon
